Label,volume,centerofMassX,centerofMassY,boundingBoxMinX,boundingBoxMinY,boundingBoxMaxX,boundingBoxMaxY,eigenvalueX,eigenvalueY,eigenvalueZ,aspectRatio,sphericity,numberOfTouchingNeighbors,averageDistanceOf5ClosestNeighbors,numberOfNeighborsCloserThan100.0
33,251,37.637,129.223,23,123,52,136,1.000,6.273,66.897,0.015,2.187,5,20.840,73
34,393,179.509,50.043,158,45,199,56,1.000,8.162,136.475,0.007,2.237,5,24.943,75
35,175,71.966,181.646,67,173,78,190,1.000,8.588,23.822,0.042,2.522,3,22.535,69
36,208,151.005,232.192,140,226,161,237,1.000,8.733,35.956,0.028,2.425,4,18.583,53
37,212,233.330,127.557,225,114,239,142,1.000,5.498,59.018,0.017,1.910,5,14.498,62
38,227,77.040,166.485,70,152,84,180,1.000,5.738,61.581,0.016,2.045,5,17.904,87
39,216,222.736,10.926,217,0,230,21,1.000,8.667,39.475,0.025,2.353,2,34.701,28
40,164,193.177,107.939,186,99,201,117,1.000,6.798,28.344,0.035,2.070,7,14.594,88
41,239,86.925,168.749,81,153,93,182,1.000,6.094,63.210,0.016,2.166,6,14.939,87
42,420,161.052,58.307,143,49,184,65,1.000,12.574,110.188,0.009,2.187,6,18.895,89
43,130,134.615,149.069,130,140,139,157,1.000,4.843,23.427,0.043,2.216,5,13.941,113
44,150,171.687,173.313,161,170,184,177,1.000,3.867,39.217,0.025,2.069,5,17.195,101
45,211,88.801,133.223,77,128,102,139,1.000,5.613,54.255,0.018,2.255,7,13.698,108
46,469,165.377,237.701,125,229,192,242,1.000,7.256,339.444,0.003,1.697,6,21.437,46
47,180,142.594,128.450,133,121,154,136,1.000,5.562,39.804,0.025,2.029,7,12.848,117
48,192,120.365,84.172,105,78,132,93,1.000,5.237,55.325,0.018,1.749,7,16.474,122
49,256,75.379,58.949,57,52,91,65,1.000,6.022,80.762,0.012,1.950,7,14.386,98
50,202,76.243,145.946,69,136,83,160,1.000,6.825,40.985,0.024,2.081,8,18.104,97
51,238,171.038,198.483,158,191,184,206,1.000,6.897,56.489,0.018,2.160,6,17.953,74
52,193,98.627,155.653,86,151,110,161,1.000,5.893,43.625,0.023,2.183,5,14.688,102
53,129,6.481,105.876,0,101,14,111,1.000,6.789,18.035,0.055,2.286,4,17.729,55
54,176,108.205,143.153,102,132,115,154,1.000,5.504,39.607,0.025,1.947,8,15.245,112
55,129,204.953,115.752,199,107,209,126,1.000,3.970,29.874,0.033,1.991,5,12.982,80
56,156,181.353,211.205,175,203,188,220,1.000,6.702,25.753,0.039,2.190,5,16.566,63
57,243,119.893,32.066,114,20,126,44,1.000,8.300,48.096,0.021,2.414,4,19.974,79
58,221,126.163,196.095,119,183,135,210,1.000,5.478,66.527,0.015,1.921,8,17.883,79
59,140,157.500,120.050,148,114,168,126,1.000,3.955,33.200,0.030,1.917,5,14.035,119
60,135,89.963,123.304,83,116,97,130,1.000,5.215,23.447,0.043,2.121,4,12.914,113
61,228,172.175,227.654,161,220,184,236,1.000,7.397,51.825,0.019,2.149,6,18.162,49
62,239,233.146,97.502,224,84,241,114,1.000,5.159,78.789,0.013,1.900,6,14.636,60
63,137,150.343,170.606,141,166,160,175,1.000,3.886,33.833,0.030,2.142,4,14.747,102
64,183,98.574,78.732,92,68,105,89,1.000,6.190,38.873,0.026,2.165,7,17.257,116
65,187,95.471,169.545,90,158,100,182,1.000,5.808,42.657,0.023,2.137,4,13.810,92
66,104,4.606,118.673,0,112,11,124,1.000,5.386,14.111,0.071,2.139,3,21.386,52
67,105,229.981,7.114,226,0,234,15,1.000,4.042,18.688,0.054,2.153,3,37.311,23
68,166,101.223,50.349,95,40,106,60,1.000,5.536,35.093,0.028,2.087,4,15.711,100
69,247,67.433,92.988,57,81,80,106,1.000,7.343,66.405,0.015,1.904,8,18.571,107
70,199,128.794,18.201,124,7,134,30,1.000,6.198,42.759,0.023,2.228,7,16.311,66
